Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Market,Name
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",2016-04-18,1403568.0,1990,US,"Ulta Beauty, Inc."
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",1957-03-04,100885.0,1862,US,Union Pacific Corporation
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",2015-09-03,100517.0,1967,US,"United Airlines Holdings, Inc."
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,1090727.0,1907,US,"United Parcel Service, Inc."
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701.0,1997,US,"United Rentals, Inc."
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766.0,1977,US,UnitedHealth Group Incorporated
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915.0,1979,US,"Universal Health Services, Inc."
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002-12-20,1035002.0,1980,US,Valero Energy Corporation
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,740260.0,1998,US,"Ventas, Inc."
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",2023-10-02,1967680.0,2023,US,Veralto Corporation
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,1014473.0,1995,US,"VeriSign, Inc."
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145.0,1971,US,"Verisk Analytics, Inc."
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983-11-30,732712.0,1983 (1877),US,Verizon Communications Inc.
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",2013-09-23,875320.0,1989,US,Vertex Pharmaceuticals Incorporated
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,1792044.0,1961,US,Viatris Inc.
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696.0,2017,US,VICI Properties Inc.
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,1403161.0,1958,US,Visa Inc.
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",2024-05-08,1692819.0,2016,US,Vistra Corp.
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1396009.0,1909,US,Vulcan Materials Company
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544.0,1967,US,W. R. Berkley Corporation
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-06-30,277135.0,1927,US,"W.W. Grainger, Inc."
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019-02-27,943452.0,1999 (1869),US,Westinghouse Air Brake Technologies Corporation
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921.0,2014,US,"Walgreens Boots Alliance, Inc."
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,104169.0,1962,US,Walmart Inc.
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489.0,1923,US,The Walt Disney Company
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022-04-11,1437107.0,2022 (Warner Bros. 1923),US,"Warner Bros. Discovery, Inc."
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",1998-08-31,823768.0,1968,US,"Waste Management, Inc."
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",2002-01-02,1000697.0,1958,US,Waters Corporation
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325.0,1896,US,"WEC Energy Group, Inc."
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971.0,1852,US,Wells Fargo & Company
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,766704.0,1970,US,Welltower Inc.
