Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Market,Name
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478.0,1876,US,Eli Lilly and Company
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1992-07-01,1707925.0,1879,US,Linde plc
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258.0,2010,US,"Live Nation Entertainment, Inc."
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,1065696.0,1998,US,LKQ Corporation
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1957-03-04,936468.0,1995,US,Lockheed Martin Corporation
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",1995-05-31,60086.0,1959,US,Loews Corporation
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667.0,1904/1946/1959,US,"Lowe's Companies, Inc."
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",2023-10-18,1397187.0,1998,US,lululemon athletica inc.
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,1489393.0,2007,US,LyondellBasell Industries N.V.
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270.0,1856,US,M&T Bank Corporation
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295.0,2009 (1887),US,Marathon Petroleum Corporation
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,1278021.0,2000,US,MarketAxess Holdings Inc.
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1998-05-29,1048286.0,1927,US,"Marriott International, Inc."
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1987-08-31,62709.0,1905,US,"Marsh & McLennan Companies, Inc."
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076.0,1993,US,"Martin Marietta Materials, Inc."
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996.0,1929,US,Masco Corporation
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",2008-07-18,1141391.0,1966,US,Mastercard Incorporated
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2021-09-20,891103.0,1986,US,"Match Group, Inc."
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,63754.0,1889,US,"McCormick & Company, Incorporated"
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908.0,1940,US,McDonald's Corporation
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",1999-01-13,927653.0,1833,US,McKesson Corporation
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1613103.0,1949,US,Medtronic plc
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158.0,1891,US,"Merck & Co., Inc."
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801.0,2004,US,"Meta Platforms, Inc."
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",2000-12-11,1099219.0,1868,US,"MetLife, Inc."
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646.0,1945,US,Mettler-Toledo International Inc.
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,789570.0,1986,US,MGM Resorts International
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054.0,1989,US,Microchip Technology Incorporated
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125.0,1978,US,"Micron Technology, Inc."
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019.0,1975,US,Microsoft Corporation
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",2016-12-02,912595.0,1977,US,"Mid-America Apartment Communities, Inc."
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021-07-21,1682852.0,2010,US,"Moderna, Inc."
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,851968.0,1878,US,"Mohawk Industries, Inc."
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2022-03-02,1179929.0,1980,US,"Molina Healthcare, Inc."
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",1976-06-30,24545.0,"2005 (Molson 1786, Coors 1873)",US,Molson Coors Beverage Company
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982.0,2012,US,"Mondelez International, Inc."
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1280452.0,1997,US,"Monolithic Power Systems, Inc."
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012-06-28,865752.0,2012 (1935),US,Monster Beverage Corporation
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1998-07-01,1059556.0,1909,US,Moody's Corporation
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1993-07-29,895421.0,1935,US,Morgan Stanley
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,1285785.0,2004 (1865 / 1909),US,The Mosaic Company
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957-03-04,68505.0,1928 (2011),US,"Motorola Solutions, Inc."
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,1408198.0,1969,US,MSCI Inc.
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,1120193.0,1971,US,"Nasdaq, Inc."
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1999-06-25,1002047.0,1992,US,"NetApp, Inc."
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280.0,1997,US,"Netflix, Inc."
NEM,Newmont,Materials,Gold,"Denver, Colorado",1969-06-30,1164727.0,1921,US,Newmont Corporation
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013-08-01,1564708.0,2013 (News Corporation 1980),US,News Corporation
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015-09-18,1564708.0,2013 (News Corporation 1980),US,News Corporation
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308.0,1984 (1925),US,"NextEra Energy, Inc."
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187.0,1964,US,"NIKE, Inc."
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2000-11-02,1111711.0,1912,US,NiSource Inc.
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2022-02-15,72331.0,1935,US,Nordson Corporation
NSC,Norfolk Southern,Industrials,Rail Transportation,"Atlanta, Georgia",1957-03-04,702165.0,1881/1894 (1980),US,Norfolk Southern Corporation
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1998-01-30,73124.0,1889,US,Northern Trust Corporation
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1957-03-04,1133421.0,"1994 (Northrop 1939, Grumman 1930)",US,Northrop Grumman Corporation
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761.0,2011 (1966),US,Norwegian Cruise Line Holdings Ltd.
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,1013871.0,1992,US,"NRG Energy, Inc."
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309.0,1940,US,Nucor Corporation
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810.0,1993,US,NVIDIA Corporation
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,906163.0,1980,US,"NVR, Inc."
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,1413447.0,1953,US,NXP Semiconductors N.V.
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",2009-03-27,898173.0,1957,US,"O'Reilly Automotive, Inc."
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,797468.0,1920,US,Occidental Petroleum Corporation
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",2019-12-09,878927.0,1934,US,"Old Dominion Freight Line, Inc."
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1997-12-31,29989.0,1986,US,Omnicom Group Inc.
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",2022-06-21,1097864.0,1999,US,ON Semiconductor Corporation
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684.0,1906,US,"ONEOK, Inc."
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439.0,1977,US,Oracle Corporation
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020-04-03,1781335.0,"2020 (1853, United Technologies spinoff)",US,Otis Worldwide Corporation
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980-12-31,75362.0,1905,US,PACCAR Inc
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017-07-26,75677.0,1959,US,Packaging Corporation of America
PLTR,Palantir Technologies,Information Technology,Application Software,"Denver, Colorado",2024-09-23,1321655.0,2003,US,Palantir Technologies Inc.
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",2023-06-20,1327567.0,2005,US,"Palo Alto Networks, Inc."
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",1994-09-30,813828.0,2019 (Paramount Pictures 1912),US,Paramount Global
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1985-11-30,76334.0,1917,US,Parker-Hannifin Corporation
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",1998-10-01,723531.0,1971,US,"Paychex, Inc."
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",2020-01-28,1590955.0,1998,US,"Paycom Software, Inc."
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",2015-07-20,1633917.0,1998,US,"PayPal Holdings, Inc."
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",2012-10-01,77360.0,1966,US,Pentair plc
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1957-03-04,77476.0,1898,US,"PepsiCo, Inc."
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,78003.0,1849,US,Pfizer Inc.
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",2022-10-03,1004980.0,1905,US,PG&E Corporation
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008-03-31,1413329.0,2008 (1847),US,Philip Morris International Inc.
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701.0,2012 (1917),US,Phillips 66
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",1999-10-04,764622.0,1985,US,Pinnacle West Capital Corporation
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676.0,1845,US,"The PNC Financial Services Group, Inc."
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07,945841.0,1993,US,Pool Corporation
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879.0,1883,US,"PPG Industries, Inc."
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",2001-10-01,922224.0,1920,US,PPL Corporation
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328.0,1879,US,"Principal Financial Group, Inc."
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,80424.0,1837,US,The Procter & Gamble Company
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661.0,1937,US,The Progressive Corporation
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1045609.0,1983,US,"Prologis, Inc."
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774.0,1875,US,"Prudential Financial, Inc."
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784.0,1903,US,Public Service Enterprise Group Incorporated
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,857005.0,1985,US,PTC Inc.
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",2005-08-19,1393311.0,1972,US,Public Storage
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416.0,1956,US,"PulteGroup, Inc."
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,1050915.0,1997,US,"Quanta Services, Inc."
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1999-07-22,804328.0,1985,US,QUALCOMM Incorporated
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,1022079.0,1967,US,Quest Diagnostics Incorporated
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,1037038.0,1967,US,Ralph Lauren Corporation
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,720005.0,1962,US,"Raymond James Financial, Inc."
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1957-03-04,101829.0,1922,US,RTX Corporation
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728.0,1969,US,Realty Income Corporation
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,910606.0,1963,US,Regency Centers Corporation
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589.0,1988,US,"Regeneron Pharmaceuticals, Inc."
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1281761.0,1971,US,Regions Financial Corporation
